"","time","S","E","I","R","D","N_t"
"284",283,93072.8564586717,3.72292793892659e-06,2.52141501111138e-05,3711580.78633677,195346.357175619,4e+06
"285",284,93072.8564583663,3.32365746909713e-06,2.25100242933235e-05,3711580.78634001,195346.35717579,4e+06
"286",285,93072.8564580937,2.96721320518768e-06,2.00959460943164e-05,3711580.7863429,195346.357175942,4e+06
"287",286,93072.8564578503,2.64899571150503e-06,1.79407650691694e-05,3711580.78634548,195346.357176078,4e+06
"288",287,93072.8564576331,2.36490529410422e-06,1.60167153572437e-05,3711580.78634778,195346.357176199,4e+06
"289",288,93072.8564574391,2.11128203225263e-06,1.42990095352821e-05,3711580.78634984,195346.357176307,4e+06
"290",289,93072.8564572659,1.88485848926278e-06,1.27655183436439e-05,3711580.78635168,195346.357176404,4e+06
"291",290,93072.8564571113,1.68271764278033e-06,1.13964857621685e-05,3711580.78635332,195346.35717649,4e+06
"292",291,93072.8564569733,1.50225530534988e-06,1.01742744971943e-05,3711580.78635478,195346.357176567,4e+06
"293",292,93072.8564568501,1.341146574494e-06,9.08313875912748e-06,3711580.78635609,195346.357176636,4e+06
"294",293,93072.8564567401,1.19731588091189e-06,8.10902140887511e-06,3711580.78635725,195346.357176698,4e+06
"295",294,93072.8564566419,1.06891024884922e-06,7.23937285924282e-06,3711580.78635829,195346.357176752,4e+06
"296",295,93072.8564565542,9.54275424147901e-07,6.46298939817323e-06,3711580.78635922,195346.357176801,4e+06
"297",296,93072.856456476,8.51934562433075e-07,5.76986885093976e-06,3711580.78636005,195346.357176845,4e+06
"298",297,93072.8564564061,7.60569202876395e-07,5.15108172178706e-06,3711580.78636079,195346.357176884,4e+06
"299",298,93072.8564563437,6.79002282419964e-07,4.59865615493133e-06,3711580.78636146,195346.357176919,4e+06
"300",299,93072.856456288,6.06182971632612e-07,4.10547523286923e-06,3711580.78636205,195346.35717695,4e+06
"301",300,93072.8564562383,5.41173136838314e-07,3.66518528888582e-06,3711580.78636257,195346.357176978,4e+06
"302",301,93072.8564561939,4.83135254107882e-07,3.27211405254872e-06,3711580.78636305,195346.357177002,4e+06
"303",302,93072.8564561543,4.31321619409483e-07,2.92119757365377e-06,3711580.78636347,195346.357177025,4e+06
"304",303,93072.8564561189,3.85064715911966e-07,2.60791498318109e-06,3711580.78636384,195346.357177044,4e+06
"305",304,93072.8564560873,3.43768614342651e-07,2.32823025078462e-06,3711580.78636418,195346.357177062,4e+06
"306",305,93072.8564560591,3.06901295610083e-07,2.07854018847495e-06,3711580.78636447,195346.357177078,4e+06
"307",306,93072.8564560339,2.73987796783848e-07,1.85562803062498e-06,3711580.78636474,195346.357177092,4e+06
"308",307,93072.8564560115,2.44604092130864e-07,1.65662199226813e-06,3711580.78636498,195346.357177104,4e+06
"309",308,93072.8564559914,2.18371630377326e-07,1.47895827179428e-06,3711580.78636519,195346.357177115,4e+06
"310",309,93072.8564559735,1.9495245781968e-07,1.32034802140579e-06,3711580.78636538,195346.357177125,4e+06
"311",310,93072.8564559575,1.74044864455472e-07,1.17874785981286e-06,3711580.78636555,195346.357177134,4e+06
"312",311,93072.8564559432,1.55379497043057e-07,1.05233354728244e-06,3711580.7863657,195346.357177142,4e+06
"313",312,93072.8564559305,1.38715889014549e-07,9.39476483895193e-07,3711580.78636584,195346.357177149,4e+06
"314",313,93072.8564559191,1.23839362536794e-07,8.38722728236978e-07,3711580.78636596,195346.357177156,4e+06
"315",314,93072.856455909,1.10558262809482e-07,7.48774266221783e-07,3711580.78636607,195346.357177161,4e+06
"316",315,93072.8564558999,9.87014889697978e-08,6.6847228873179e-07,3711580.78636616,195346.357177166,4e+06
"317",316,93072.8564558918,8.81162897941324e-08,5.96782262639811e-07,3711580.78636625,195346.357177171,4e+06
"318",317,93072.8564558846,7.86662957988426e-08,5.32780602883564e-07,3711580.78636633,195346.357177175,4e+06
"319",318,93072.8564558781,7.02297623875175e-08,4.75642773887678e-07,3711580.78636639,195346.357177179,4e+06
"320",319,93072.8564558724,6.26980014111727e-08,4.24632667043625e-07,3711580.78636646,195346.357177182,4e+06
"321",320,93072.8564558672,5.59739809351027e-08,3.79093117397296e-07,3711580.78636651,195346.357177185,4e+06
"322",321,93072.8564558626,4.99710751731415e-08,3.38437437370387e-07,3711580.78636656,195346.357177187,4e+06
"323",322,93072.8564558585,4.46119484846914e-08,3.0214185844422e-07,3711580.7863666,195346.35717719,4e+06
"324",323,93072.8564558549,3.98275590570157e-08,2.69738783431981e-07,3711580.78636664,195346.357177192,4e+06
"325",324,93072.8564558516,3.55562694371994e-08,2.40810762408136e-07,3711580.78636668,195346.357177193,4e+06
"326",325,93072.8564558487,3.17430524547317e-08,2.14985114686743e-07,3711580.78636671,195346.357177195,4e+06
"327",326,93072.8564558461,2.83387823045828e-08,1.91929127563403e-07,3711580.78636673,195346.357177196,4e+06
"328",327,93072.8564558438,2.52996016577747e-08,1.71345769966092e-07,3711580.78636676,195346.357177198,4e+06
"329",328,93072.8564558417,2.25863566459095e-08,1.52969865793684e-07,3711580.78636678,195346.357177199,4e+06
"330",329,93072.8564558398,2.01640924405411e-08,1.36564677643154e-07,3711580.7863668,195346.3571772,4e+06
"331",330,93072.8564558382,1.80016029289226e-08,1.21918856913507e-07,3711580.78636682,195346.357177201,4e+06
"332",331,93072.8564558367,1.60710286845871e-08,1.08843720994505e-07,3711580.78636683,195346.357177202,4e+06
"333",332,93072.8564558353,1.43474980534016e-08,9.71708224621417e-08,3711580.78636685,195346.357177202,4e+06
"334",333,93072.8564558342,1.2808806731195e-08,8.67497789647018e-08,3711580.78636686,195346.357177203,4e+06
"335",334,93072.8564558331,1.14351317049463e-08,7.74463358417755e-08,3711580.78636687,195346.357177204,4e+06
"336",335,93072.8564558322,1.02087758722292e-08,6.91406365168676e-08,3711580.78636688,195346.357177204,4e+06
"337",336,93072.8564558314,9.11394004883476e-09,6.1725678381016e-08,3711580.78636689,195346.357177205,4e+06
"338",337,93072.8564558306,8.13445652313379e-09,5.50919629119581e-08,3711580.7863669,195346.357177205,4e+06
"339",338,93072.8564558299,7.25949737001965e-09,4.91661561817325e-08,3711580.7863669,195346.357177205,4e+06
"340",339,93072.8564558293,6.47793367703487e-09,4.38728857753413e-08,3711580.78636691,195346.357177206,4e+06
"341",340,93072.8564558288,5.81853808785388e-09,3.94070192186758e-08,3711580.78636692,195346.357177206,4e+06
"342",341,93072.8564558284,5.22626305975012e-09,3.53957378516673e-08,3711580.78636692,195346.357177206,4e+06
"343",342,93072.856455828,4.6942763211824e-09,3.17927689762987e-08,3711580.78636692,195346.357177207,4e+06
"344",343,93072.8564558276,4.21644106461581e-09,2.85565500404639e-08,3711580.78636693,195346.357177207,4e+06
"345",344,93072.8564558273,3.78724515452073e-09,2.56497491873526e-08,3711580.78636693,195346.357177207,4e+06
"346",345,93072.856455827,3.4017375413614e-09,2.30388346085869e-08,3711580.78636693,195346.357177207,3999999.99999999
"347",346,93072.8564558267,3.05547114807053e-09,2.06936877333497e-08,3711580.78636694,195346.357177207,3999999.99999999
"348",347,93072.8564558265,2.74445157016891e-09,1.85872557913921e-08,3711580.78636694,195346.357177207,3999999.99999999
"349",348,93072.8564558263,2.46509099775305e-09,1.66952397420134e-08,3711580.78636694,195346.357177208,3999999.99999999
"350",349,93072.8564558261,2.21416682781156e-09,1.49958139690735e-08,3711580.78636694,195346.357177208,4e+06
"351",350,93072.8564558259,1.98878448943667e-09,1.34693745085411e-08,3711580.78636695,195346.357177208,4e+06
"352",351,93072.8564558257,1.78634405309617e-09,1.20983129042207e-08,3711580.78636695,195346.357177208,4e+06
"353",352,93072.8564558256,1.60451023878208e-09,1.086681308294e-08,3711580.78636695,195346.357177208,4e+06
"354",353,93072.8564558255,1.44118547706105e-09,9.76066890602222e-09,3711580.78636695,195346.357177208,4e+06
"355",354,93072.8564558254,1.29448571226838e-09,8.76712029238412e-09,3711580.78636695,195346.357177208,4e+06
"356",355,93072.8564558253,1.16271866871999e-09,7.8747060228331e-09,3711580.78636695,195346.357177208,4e+06
"357",356,93072.8564558252,1.04436432922924e-09,7.07313152756803e-09,3711580.78636695,195346.357177208,4e+06
"358",357,93072.8564558251,9.38057400735801e-10,6.35315013172739e-09,3711580.78636696,195346.357177208,4e+06
"359",358,93072.856455825,8.42571564776284e-10,5.7064563890763e-09,3711580.78636696,195346.357177208,4e+06
"360",359,93072.856455825,7.56805331115885e-10,5.12559027336816e-09,3711580.78636696,195346.357177208,4e+06
"361",360,93072.8564558249,6.79769331350105e-10,4.60385112219115e-09,3711580.78636696,195346.357177208,4e+06
"362",361,93072.8564558248,6.10574905917868e-10,4.13522034046256e-09,3711580.78636696,195346.357177208,4e+06
"363",362,93072.8564558248,5.48423852833229e-10,3.71429197215925e-09,3711580.78636696,195346.357177208,4e+06
"364",363,93072.8564558247,4.92599219917999e-10,3.3362103391328e-09,3711580.78636696,195346.357177208,4e+06
"365",364,93072.8564558247,4.42457034299999e-10,2.99661402775072e-09,3711580.78636696,195346.357177208,4e+06
"366",365,93072.8564558247,3.97418873773792e-10,2.69158557719859e-09,3711580.78636696,195346.357177209,4e+06
